paper,year,month,title,author
27,1974,January,Production Within the Household,['Arleen Leibowitz']
28,1974,January,The Wealth Effect in Occupational Choice,['Yoram Weiss']
29,1974,January,Male-Female Differences in Wages and Employment: A Specific Human Capital Model,['Elisabeth M Landes']
30,1974,January,The Timing and Spacing of Births and Women's Labor Force Participation: An Economic Analysis,['Sue Goetz Ross']
31,1974,January,Price Expectations and Household's Demand for Financial Assets,['Lester D Taylor']
32,1974,February,Operational Time and Seasonality in Distributed Lag Estimation,['Peter K Clark']
33,1974,February,Inflation and Market Structure 1967-1973,['Phillip Cagan']
34,1974,February,Estimation of a Stochastic Model of Reproduction: An Econometric Approach,"['James J Heckman', 'Robert J Willis']"
35,1974,March,Changes in the Recession Behavior of Wholesale Prices: The 1920s and Post World War II,['Phillip Cagan']
36,1974,March,Economic Theories of Fertility: What do They Explain?,['Warren C Sanderson']
37,1974,April,Interpreting Spectral Analyses in Terms of Time-Domain Models,['Robert F Engle']
38,1974,April,A General Algorithm for Simultaneous Estimation of Constant and Randomly-Varying Parameters in Lineal Relations,['Alexander H Sarris']
39,1974,May,Unemployment Effects of Minimum Wages,['Jacob Mincer']
40,1974,May,Legality and Reality: Some Evidence on Criminal Procedure,['William M Landes']
41,1974,May,Theories of Economic Regulation,['Richard A Posner']
42,1974,June,A Theory of Social Interactions,['Gary S Becker']
43,1974,June,Graphics for Data Analysis,['Roy E Welsch']
44,1974,June,The Statistical Analysis of Local Structure in Social Networks,"['Paul W Holland', 'Samuel Leinhardt']"
45,1974,June,The Incubator Hypothesis: Evidence from Five Cities,"['Raymond Struyk', 'Robert A Leone']"
46,1974,July,The Singular Value Analysis in Matrix Computation,"['Neil Kaden', 'Richard A Becker', 'Virginia Klema']"
47,1974,July,The Distribution of Earnings and Human Wealth in Cycle Context,['Lee A Lillard']
48,1974,July,Protection and Competitiveness in Egyptian Agriculture and Industry,"['Bent Hansen', 'Karim Nashashibi']"
49,1974,August,Years and Intensity of Schooling Investing,['Arleen Leibowitz']
50,1974,August,Measuring the Effect of an Anti-Discrimination Program,"['James J Heckman', 'Orley C Ashenfelter']"
51,1974,August,"Age, Experience and Wage Growth",['Edward P Lazear']
52,1974,August,Transportation/Communication Considerations in the Location of Headquarters for Multi-Establishment Manufacturing Firms,['Warren G Lavey']
53,1974,August,Progress in Human Capital Analysis of the Distribution of Earnings,['Jacob Mincer']
54,1974,August,Bilateral Trade as a Development Instrument Under Global Trade Restrictions,['Karim Nashashibi']
55,1974,September,Social Costs of Monopoly and Regulation,['Richard A Posner']
56,1974,September,Comparison of Robust and Varying Parameter Estimates of a Macroeconometric Model,['Thomas F Cooley']
57,1974,September,"Varying-Parameter Supply Functions and the Sources of Economic Distress in American Agriculture, 1866-1914","['Steven J DeCanio', 'Thomas F Cooley']"
58,1974,September,A Monte Carlo Study of Two Robust Alternatives of Least Square Regression Estimation,"['Paul W Holland', 'Richard W Hill']"
59,1974,October,An Analysis of Firm Demand for Protection Against Crime,['Ann P Bartel']
60,1974,October,The Variances of Regression Coefficient Estimates Using Aggregate Data,"['Edwin Kuh', 'Roy E Welsch']"
61,1974,November,Factoring LP Block-Angular Bases,['William Orchard-Hays']
62,1974,November,The Private Enforcement of Law,"['Richard A Posner', 'William M Landes']"
63,1974,December,Censored Regression Models with Unobserved Stochastic Censoring Thresholds,['Forrest D Nelson']
64,1974,December,"Data Analysis, Communication, and Control",['Roy E Welsch']
65,1974,December,Rational Distributed Lag Structural Form--A General Econometric Model,['Kent D Wall']
66,1974,December,Detecting and Assessing the Problems Caused by Multi-Collinearity: A Useof the Singular-Value Decomposition,"['David A Belsley', 'Virginia Klema']"
67,1975,January,Human Capital and Labor Supply: A Synthesis,"['Alan S Blinder', 'Yoram Weiss']"
68,1974,October,On a General Computer Algorithm for the Analysis of Models with Limited Dependent Variables,['Forrest D Nelson']
69,1974,October,Ridge Estimators for Distributed Lag Models,['G S Maddala']
70,1974,October,Analysis of Qualitative Variables,"['Forrest D Nelson', 'G S Maddala']"
71,1975,January,On the Theory of Productive Saving,"['Isaac Ehrlich', 'Uri Ben-Zion']"
72,1974,December,The Goodness of Match,['Edward N Wolff']
73,1975,February,The Role of Physicians in the Production of Hospital Output,"['Mark A Satterthwaite', 'Mark V Pauly']"
74,1975,March,Variation Across Household in the Rate of Inflation,['Robert T Michael']
75,1975,March,Implementing and Documenting Random Number Generators,['David C Hoaglin']
76,1975,March,Robust Non-Linear Regression Using The Dogleg Algorithm,"['Richard A Becker', 'Roy E Welsch']"
77,1975,March,FIML Estimation of Rational Distributed Lag Structural Form Models,['Kent D Wall']
78,1975,March,Tables of Sample Size For the F-Test in One Way Analysis of Variance Designs,['Richard W Hill']
79,1975,March,The Consumer Expenditure Function,['Michael R Darby']
80,1975,April,Inequality: Earnings vs. Human Wealth,['Lee A Lillard']
81,1975,May,The Parental Bequest to Children,['Arleen Leibowitz']
82,1975,May,Certain Aspects of Generalized Box-Jenkins Models,['Richard W Hill']
83,1975,May,Robust Line Estimation With Errors in Both Variables,['Michael L Brown']
84,1975,May,A Comparison of Two Simple Methods for Obtaining Robust Confidence Intervals,['Richard W Hill']
85,1975,May,On the Identification of Time Varying Structures,"['Kent D Wall', 'Thomas F Cooley']"
86,1975,May,The Use of the Box Step Method in Discrete Optimization,['Roy E Marsten']
87,1975,May,Exports and Foreign Investment in the Pharmaceutical Industry,"['Merle Yahr Weiss', 'Robert E Lipsey']"
88,1975,May,"Three-And-A-Half Million U.S. Employees Have Been Mislaid: Or, An Explanation of Unemployment, 1934-1941",['Michael R Darby']
89,1975,June,Alternative Prior Representations of Smoothness for Distributed Lag Estimation,['Robert J Shiller']
90,1975,June,The Maximum Likelihood Stage Least Squares Estimator in the Nonlinear Simultaneous Equations Model,['Takeshi Amemiya']
91,1975,June,Autoregressive Spectrum Estimation Technique Allied to Quarterly Consumer Durables Expenditure Data,['Warren G Lavey']
92,1975,June,Schooling as a Wage Depressant,['Edward P Lazear']
93,1975,June,Rational Expectations and the Dynamic Structure of Macroeconomic Models:A Critical Review,['Robert J Shiller']
94,1975,July,"Decision-Stage Method: Convergence Proof, Special Application, and Computation Experience",['Vinay Dharmadhikari']
95,1975,July,"Qualitative Information, Reputation, and Monopolistic Competition","['John R Lott, Jr', 'Michael R Darby']"
96,1975,July,Specification Errors in Limited Dependent Variable Models,"['Forrest D Nelson', 'G S Maddala']"
97,1975,July,Human Wealth and Human Capital,['Edward P Lazear']
98,1975,July,The Demand for Nursing Home Care: An Analysis of the Substitution Between Institutional and Noninstitutional Care,['Barry R Chiswick']
99,1975,July,"The Earnings of Scientists, 1960-1970: Experience, Age and Vintage Effects",['Yoram Weiss']
100,1975,August,Finding a Dual Feasible Solution to an LP with M Equalities in (l&M) Dual Iterations,['Vinay Dharmadhikari']
101,1975,August,Innovation and Foreign Investment Behavior of the U.S. Pharmaceutical Industry,"['Benjamin I Cohen', 'Jorge Katz', 'William T Beck']"
102,1975,August,Education and Screening,['Kenneth I Wolpin']
103,1975,September,Rosepack Document 1: Guidelines for Writing Semi-portable Fortran,"['Neil Kaden', 'Virginia Klema']"
104,1975,September,Education: Consumption or Production,['Edward P Lazear']
105,1975,October,Time-Utilization of a Population of General Practitioners in a Prepaid Group Practice,"['Edward F X Hughes', 'Eugene M Lewit', 'Richard N Watkins']"
106,1975,October,Parametric Integer Programming the Right Hand Side Case,"['Roy A Marsten', 'Thomas Morin']"
107,1975,October,Social Security and Retirement Decisions,['Michael J Boskin']
108,1975,October,Are Health Workers Underpaid?,['Victor R Fuchs']
109,1975,November,Notes on Automating Stem and Leaf Displays,"['David C Hoaglin', 'Stanley S Wasserman']"
110,1975,October,The Independent Judiciary in an Interest-Group Perspective,"['Richard A Posner', 'William M Landes']"
111,1975,November,Confidence Regions for Robust Regression,['Roy E Welsch']
112,1975,November,A Beta-Logistic Model for the Analysis of Sequential Labor Force Participation by Married Women,"['James J Heckman', 'Robert J Willis']"
113,1975,November,Random Directed Graph Distributions in the Triad Census in Social Networks,['Stanley S Wasserman']
114,1975,November,On the Measurement of Benefits in an Urban Context: Some General Equilibrium Issues,"['Daniel L Rubinfeld', 'Paul N Courant']"
115,1975,November,"The Production of Health Services in Fee for Service, for Profit Health Practices: The Case of Optometrists",['Douglas Coate']
116,1975,November,Notes on the Tax Treatment of Human Capital,['Michael J Boskin']
117,1980,April,Job Mobility and Earnings Growth,['Ann P Bartel']
118,1975,December,The International Transfer of Semi-Conductor Technology Through U.S. Based Firms,['William F Finan']
119,1976,January,Interequation Constraint and the Specification of Dynamic Structure,['Kent D Wall']
120,1976,January,"From Bismark to Woodcock: The ""Irrational"" Pursuit of National Health Insurance",['Victor R Fuchs']
121,1976,January,Analysis of Longitudinal Earnings Data: American Scientists 1960-70,"['Lee A Lillard', 'Yoram Weiss']"
122,1976,February,The Market for Optometric Services in the United States,['Douglas Coate']
123,1976,February,"Child Endowments, and the Quantity and Quality of Children","['Gary S Becker', 'Nigel Tomes']"
124,1976,February,Representing Symmetric Rank Two Updates,['David M Gay']
125,1976,March,On Modifying Singular Values to Solve Possible Singular Systems of Non-Linear Equations,['David M Gay']
126,1976,March,Transnational Activity and Market Entry in the Semiconductor Industry,['Arthur W Lake']
127,1976,March,Identification Theory for Time Varying Models,"['Kent D Wall', 'Thomas F Cooley']"
128,1976,March,A Note on Optimal Smoothing for Time Varying Coefficient Problems,"['Kent D Wall', 'Thomas F Cooley']"
129,1976,March,A Survey of Recent Research in Health Economics,['Michael Grossman']
130,1976,March,Rosepack Document 3: Guidelines for Writing Semi-Portable Fortran,"['Neil Kaden', 'Virginia Klema']"
131,1976,March,Exports and Foreign Investment in Manufacturing Industries,"['Merle Yahr Weiss', 'Robert E Lipsey']"
132,1976,April,"Health, Family Structure, and Labor Supply",['Donald O Parsons']
133,1976,April,Toward a More General Theory of Regulation,['Sam Peltzman']
134,1979,April,The Demand for Pediatric Care: An Hedonic Approach,"['Fred Goldman', 'Michael Grossman']"
135,1976,April,"Taxation, Saving and the Rate of Interest",['Michael J Boskin']
136,1976,June,"Price Behavior in Primary Manufacturing Industries, 1958-1973",['Joel Popkin']
137,1976,May,"Leisure, Home Production and Work--The Theory of The Allocation of Time Revisited",['Reuben Gronau']
138,1976,May,"Experience, Vintage and Time Effects in the Growth of Earnings: American Scientists, 1960-1970","['Lee A Lillard', 'Yoram Weiss']"
139,1976,May,Treatment Decision-Making in Catastrophic Illness,['Kenneth E Warner']
140,1976,June,A Multiplicative Model of Investment in Human Capital,['Yoram Weiss']
141,1980,October,Family Background and Optimal Schooling Decision,['Edward P Lazear']
142,1976,July,Estimation of Econometric Model Using Nonlinear Full Information Maximum Likelihood: Preliminary Computer Results,"['David A Belsley', 'Kent D Wall']"
143,1976,August,The Distribution of Earnings Profiles in Longitudinal Data,"['George J Borjas', 'Jacob Mincer']"
144,1976,August,Optimal Income Redistribution When Individual Welfare Depends Upon Relative Income,"['Eytan Sheshinski', 'Michael J Boskin']"
145,1976,August,Intergenerational Externalities,['Edward P Lazear']
146,1976,August,Legal Precedent: A Theoretical and Empirical Analysis,"['Richard A Posner', 'William M Landes']"
147,1976,August,Factors Affecting Divorce: A Study of the Terman Sample,['Robert T Michael']
148,1976,August,Who is the Family's Main Breadwinner? The Wife's Contribution to Full Income,['Reuben Gronau']
149,1976,September,"Age, Education and Occupational Earnings Inequality","['Dennis M Bushe', 'Edward N Wolff']"
150,1976,September,Dynamic Aspects of Earnings Mobility,"['Lee A Lillard', 'Robert J Willis']"
151,1976,October,Some Lessons from the New Public Finance,"['Joseph E Stiglitz', 'Michael J Boskin']"
152,1976,October,Optimal Tax Theory: Econometric Evidence and Tax Policy,['Michael J Boskin']
153,1976,October,Economics of Marital Instability,"['Elisabeth M Landes', 'Gary S Becker', 'Robert T Michael']"
154,1976,October,Multicollinearity: Diagnosing its Presence and Assessing the Potential Damage It Causes Least Squares Estimation,['David A Belsley']
155,1976,November,Foreign Competition and the UK,['Arthur W Lake']
157,1976,November,Efficient Estimation of a Dynamic Error-Shock Model,"['Cheng Hsiao', 'P M Robinson']"
158,1976,December,The Market for Lawyers: The Determinants of the Demand for and Supply of Lawyers,['B Peter Pashigian']
159,1976,December,A Conic Algorithm for the Group Minimization Problem,['Bruno Simeone']
160,1977,January,Misintermediation and Business Fluctuation,['J Huston McCulloch']
161,1977,January,Middle-Age Job Mobility: Its Determinants and Consequences,"['Ann P Bartel', 'George J Borjas']"
162,1977,January,"Labor Quality, the Demand for Skill, and Market Selection",['Sherwin Rosen']
163,1977,January,The Gains and Losses From Industrial Concentration,['Sam Peltzman']
164,1977,January,Alternative Trade Strategies and Employment - Plan of Research for Country Studies,['Anne O Krueger']
165,1977,February,Rosetak Document 4: Rank Degeneracies and Least Square Problems,"['G W Stewart', 'Gene Golub', 'Virginia Klema']"
166,1977,March,Industrial Demand for Energy,['Robert Halborsen']
167,1977,March,"Money And Income, Causality Detection",['Cheng Hsiao']
168,1977,March,Wage Differentials Are Larger Than You Think,['Edward P Lazear']
169,1977,March,Solving Systems of Non-Linear Equations by Broyden's Method with Projected Updates,"['David M Gay', 'Robert B Schnabel']"
170,1977,March,The Austrian Theory of the Marginal Use And of Ordinal Marginal Utility,['J Huston McCulloch']
171,1977,March,The Effect of Minimum Wage Legislation on Income Equality: A Theoretical Analysis,['J Huston McCulloch']
172,1977,March,Sample Selection Bias As a Specification Error (with an Application to the Estimation of Labor Supply Functions),['James J Heckman']
173,1977,March,Linear Regression Diagnostics,"['Edwin Kuh', 'Roy E Welsch']"
174,1977,April,Educational Screening and Occupational Earnings,"['Edward N Wolff', 'Joel Hay']"
175,1977,July,Some Convergence Properties of Broyden's Method,['David M Gay']
176,1977,May,Export and Domestic Prices Under Inflation and Exchange Rate Movements,"['Irving B Kravis', 'Robert E Lipsey']"
177,1977,May,Dummy Endogenous Variables in a Simultaneous Equation System,['James J Heckman']
178,1980,April,"Investors' Portfolio Behavior Under Alternative Models of Long-Term Interest Rate Expectations: Unitary, Rational, or Autoregressive","['Benjamin M Friedman', 'V Vance Roley']"
179,1977,April,Identifying Identical Distributed Lag Structures by the Use of Prior Sum Constraints,"['Benjamin M Friedman', 'V Vance Roley']"
180,1977,May,An Economic Analysis of Children's Health and Intellectual Development,"['Linda N Edwards', 'Michael Grossman']"
181,1977,June,Price Behavior in the Light of Balance of Payments Theories,"['Irving B Kravis', 'Robert E Lipsey']"
182,1977,July,Export Prices and Exchange Rates,"['Eliot R J Kalter', 'Irving B Kravis', 'Robert E Lipsey']"
183,1977,June,The Government's Impact on the Labor Market Status of Black Americans: A Critical Review,"['James J Heckman', 'Richard Butler']"
184,1977,July,A Theory of the Production and Allocation of Effort,['Gary S Becker']
185,1977,July,Estimation of Permanent and Transitory Response Functions in Panels Data: A Dynamic Labor Supply Model,['Lee A Lillard']
186,1980,January,Do Private Pensions Increase National Saving?,['Martin S Feldstein']
187,1977,July,A Model of Social Security and Retirement Decisions,['Eytan Sheshinski']
188,1977,July,Notes on the Public Debt and Social Insurance,['Jerry R Green']
189,1977,July,A System of Subroutines For Iteratively Reweighted Least Squares Computations,"['David E Coleman', 'Neil Kaden', 'Paul W Holland', 'Virginia Klema']"
190,1977,August,"The Pacific Basin in World Trade: Part I, Current Price Trade Matrices, 1948-1975","['Bert G Hickman', 'Lawrence J Lau', 'Yoshimi Kuroda']"
191,1977,August,"The Pacific Basin in World Trade: Part II, Constant-Price Trade Matrices, 1955-1975","['Bert G Hickman', 'Lawrence J Lau', 'Yoshimi Kuroda']"
192,1977,August,"The Pacific Basin in World Trade: Part III, An Analysis of Changing Trade Patterns, 1955-1975","['Bert G Hickman', 'Lawrence J Lau', 'Yoshimi Kuroda']"
193,1980,November,The Optimal Taxation of Foreign Source Investment Income,"['David G Hartman', 'Martin S Feldstein']"
194,1977,August,Cost-Benefit Analysis Under Uncertainty,['David A Graham']
195,1977,August,Finding Leverage Groups,['David E Coleman']
196,1977,August,An Adaptive Nonlinear Least Square Algorithm,"['David M Gay', 'John E Dennis', 'Roy E Welsch']"
197,1977,August,An Agricultural Time Series-Cross Section Data Set,"['M Scott Matthews', 'Steven J DeCanio', 'Thomas F Cooley']"
198,1980,April,The Economics of Migration: An Empirical Analysis with Special Referenceto the Role of Job Mobility,['Ann P Bartel']
199,1977,August,Family Migration Decisions,['Jacob Mincer']
200,1977,August,Share-Tenancy and Family Size in the Brazilian Northeast,['Anna L Ozorio de Alneida']
201,1977,September,The Welfare Cost of Permanent Inflation and Optimal Short-Run Economic Policy,['Martin S Feldstein']
202,1977,September,Two Papers on the Recent Rise in U.S. Divorce Rate,['Robert T Michael']
203,1977,September,"Taxation, Inflation, and Monetary Policy",['Eytan Sheshinski']
204,1977,September,The Effect of Social Security on Early Retirement,"['Michael D Hurd', 'Michael J Boskin']"
205,1981,January,Structural Models of Interest Rate Determination and Portfolio Behavior in the Corporate and Government Bond Markets,"['Benjamin M Friedman', 'V Vance Roley']"
206,1980,May,Social Security and Household Wealth Accumulation: New Microeconomic Evidence,"['Anthony J Pellechio', 'Martin S Feldstein']"
207,1977,October,Local Government Budgeting: The Econometric Comparison of Political and Bureaucratic Models,"['Daniel J Frisch', 'Martin S Feldstein']"
208,1977,October,An Economic Theory of Self-Control,"['H M Shefrin', 'Richard H Thaler']"
209,1977,October,"Bank Capital Adequacy, Deposit Insurance and Security Values, Part I",['William F Sharpe']
210,1977,October,"An Economic Study of U.S. Aircraft Hijacking, 1960-1976",['William M Landes']
211,1977,November,The Service Industries and U.S. Economic Growth Since World War II,['Victor R Fuchs']
212,1977,November,Social Security Wealth: The Impact of Alternative Inflation Adjustments,"['Anthony J Pellechio', 'Martin S Feldstein']"
213,1980,August,The Relationship Between Children's Health and Intellectual Development,"['Linda N Edwards', 'Michael Grossman']"
214,1977,November,"Aspects of Optimal Unemployment Insurance: Search, Leisure and Capital Market Imperfections",['J S Flemming']
215,1977,November,Mitigating Demographic Risk Through Social Insurance,['Jerry R Green']
216,1977,November,An Evaluation of the Role of Factor Markets and Intensities in the Social Security Crisis: A Progress Report,['John B Shoven']
217,1977,November,Altruism in Law and Economics,"['Richard A Posner', 'William M Landes']"
218,1977,December,Heterogeneous-Expectations Model of the Value of Bonds Bearing Call Options,"['Benjamin M Friedman', 'Zvi Bodie']"
219,1977,December,The Choice of Diet for Young Children and Its Relation to Children's Growth,"['Douglas Coate', 'Dov Chernichovsky']"
220,1977,December,Occupational Licensing and the Inter-State Mobility of Professionals,['B Peter Pashigian']
221,1977,December,Taxation and Aggregate Factor Supply: Preliminary Estimates,"['Lawrence J Lau', 'Michael J Boskin']"
222,1977,December,The Cumulative Unanticipated Change in Interest Rates: Evidence on the Misintermediation Hypothesis,['J Huston McCulloch']
223,1977,December,The Private and Social Costs of Unemployment,['Martin S Feldstein']
224,1978,January,The Earnings Function: A Glimpse Inside the Black Box,['James L Medoff']
225,1977,December,Job Satisfaction as an Economic Variable,['Richard B Freeman']
226,1977,December,Fluctuation in Equilibrium Unemployment,['Robert E Hall']
227,1978,January,"Salvors, Finders, Good Samaritans and Other Rescuers: An Economic Study of Law and Altruism","['Richard A Posner', 'William M Landes']"
228,1978,January,Estimating the Family Labor Supply Functions Derived from the Stone-Geary Utility Function,['Michael D Hurd']
229,1978,January,On the Accuracy and Properties of Recent Macroeconomic Forecasts,['Victor Zarnowitz']
230,1981,January,Family Size and the Distribution of Per Capita Income,"['Edward P Lazear', 'Robert T Michael']"
231,1978,January,Who Puts the Inflation Premium Into Nominal Interests Rates?,['Benjamin M Friedman']
232,1979,January,"Inflation, Tax Rules, and the Long Term Interest Rates","['Lawrence H Summers', 'Martin S Feldstein']"
233,1978,February,Job Mobility and Earnings Over the Life Cycle,['George J Borjas']
234,1978,February,Inflation and the Excess Taxation of Capital Gains on Corporate Stock,"['Joel B Slemrod', 'Martin S Feldstein']"
235,1978,March,"Price Inflation, Portfolio Choice, and Nominal Interest Rates",['Benjamin M Friedman']
236,1978,March,The Supply of Surgeons and the Demand for Operations,['Victor R Fuchs']
237,1978,March,Interest Rate Risk and Capital Adequacy For Traditional Banks and Financial Intermediaries,['J Huston McCulloch']
238,1978,March,Price Behavior in the Manufacturing Sector for Sixteen Industries Classified by Stage-of-Process,['Joel Popkin']
239,1980,May,The Effect of Shifting Wealth Ownership on the Term Structure of Interest Rates,['Benjamin M Friedman']
240,1979,April,Determinants of Pediatric Care Utilization,"['Ann D Colle', 'Michael Grossman']"
241,1980,November,"Personal Taxation, Portfolio Choice and The Effect of the Corporation Income Tax","['Joel B Slemrod', 'Martin S Feldstein']"
242,1980,November,"The Exit-Voice Tradeoff in the Labor Market: Unionism, Job Tenure, Quits",['Richard B Freeman']
243,1980,May,Taxation and Corporate Financial Policy,"['Charles E McLure, Jr', 'J Gregory Ballentine']"
244,1978,May,Forecasting with the Index of Leading Indicators,"['Beatrice N Vaccara', 'Victor Zarnowitz']"
245,1978,May,The Propagation of Prices in the Oil Industry,['Avram Kisselgoff']
246,1978,May,Causation Among Socioeconomic Time-Series,['Robert T Michael']
247,1978,May,Perspective on Bank Capital Adequacy: Time-Series Analysis,"['Laurie Goodman', 'William F Sharpe']"
248,1978,October,Unionism and the Dispersion of Wages,['Richard B Freeman']
249,1978,June,Education and Self-Selection,"['Robert J Willis', 'Sherwin Rosen']"
250,1981,March,The Effects of Taxation on the Selling of Corporate Stock and the Realization of Capital Gains,"['Joel B Slemrod', 'Martin S Feldstein', 'Shlomo Yitzhaki']"
251,1978,July,A Theory of the Natural Unemployment Rate and the Duration of Employment,['Robert E Hall']
252,1978,July,The Nature and Measurement of Unemployment,['Robert E Hall']
253,1978,July,Inflation and the Choice of Asset Life,"['Alan J Auerbach', 'Martin S Feldstein']"
254,1980,April,Wealth Maximization and the Cost of Capital,['Alan J Auerbach']
255,1980,January,Share Valuation and Corporate Equity Policy,['Alan J Auerbach']
256,1978,July,Children's Health and the Family,"['Linda N Edwards', 'Michael Grossman']"
257,1978,July,The Lock-In Effect of the Capital Gains Tax: Some Time Series Evidence,['Joel B Slemrod']
258,1978,July,Imported Inflation 1973-74 and the Accommodation Issue,['Phillip Cagan']
259,1978,July,"Inventory Fluctuations, Temporary Layoffs and the Business Cycle","['Alan J Auerbach', 'Martin S Feldstein']"
260,1978,July,The Effect of Social Security on Retirement,['Anthony J Pellechio']
261,1980,December,Survey Evidence on The Rationality of Interest Rate Expectations,['Benjamin M Friedman']
262,1980,June,Changes in Household Living Arrangements 1950-76,"['Robert T Michael', 'Sharon R Scott', 'Victor R Fuchs']"
263,1978,July,Adjudication as a Private Good,"['Richard A Posner', 'William M Landes']"
264,1978,July,The Pricing of Short-Lived Options When Price Uncertainty Is Log-Symmetric Stable,['J Huston McCulloch']
265,1978,July,The Fundamental Determinants of Risk In Banking,"['Barr Rosenberg', 'Philip R Perry']"
266,1978,July,Interest Rate Risk and the Regulation of Financial Institutions,"['David H Pyle', 'Jay B Morrison']"
267,1978,July,Interest Rate Changes and Commercial Bank Revenues and Costs,"['Robert Jacobson', 'Sherman J Maisel']"
268,1978,July,Calculating the Present Value of An Asset's Future Cash Flows,['Stephen D Nadauld']
269,1978,July,Tax Neutrality and the Investment Tax Credit,['David F Bradford']
270,1978,July,Explaining Movements in Completed Fertility Across Cohorts,['Lawrence W Kenny']
271,1978,July,Male Wage Rates and Marital Status,['Lawrence W Kenny']
272,1978,August,"The Social Security Earnings Test, Labor Supply Distortions, and Foregone Payroll Tax Revenues",['Anthony J Pellechio']
273,1978,August,New Estimates of the Industrial Locus of Unionism in the United States,"['James L Medoff', 'Richard B Freeman']"
274,1978,August,The Dynamics of Youth Unemployment,"['Kim B Clark', 'Lawrence H Summers']"
275,1978,August,"Fiscal Policies, Inflation and Capital Formation",['Martin S Feldstein']
276,1978,August,Inflation and the Stock Market,['Martin S Feldstein']
277,1978,August,Labor Force Transitions and Unemployment,"['Kim B Clark', 'Lawrence H Summers']"
278,1980,December,"Experience, Performance, and Earnings","['James L Medoff', 'Katharine G Abraham']"
279,1981,October,The 1971-1974 Controls Program and The Price Level: An Econometric Post-Mortem,"['Alan S Blinder', 'William J Newton']"
280,1978,September,A Fixed Effect Logit Model of the Impact Of Unionism on Quits,['Richard B Freeman']
281,1978,September,Disequilibrium Growth Theory: The Kaldor Model,['Takatoshi Ito']
282,1978,October,Black Economic Progress after 1964: Who Has Gained and Why?,['Richard B Freeman']
283,1978,October,Temporary Income Taxes and Consumer Spending,['Alan S Blinder']
284,1978,October,Crowding Out Or Crowding In? The Economic Consequences of Financing Government Deficits,['Benjamin M Friedman']
285,1978,October,Wage Growth and Job Turnover: An Empirical Analysis,"['Ann P Bartel', 'George J Borjas']"
286,1978,October,On the Choice Between Property Rules and Liability Rules,['A Mitchell Polinsky']
287,1978,October,International Reserves Under Alternative Exchange Rate Regimes and Aspects of The Economics of Managed Float,['Jacob A Frenkel']
288,1978,October,On Transactions and Precautionary Demand For Money,"['Boyan Jovanovic', 'Jacob A Frenkel']"
289,1978,October,Further Evidence On Expectations And The Demand for Money During the German Hyperinflation,['Jacob A Frenkel']
290,1978,October,Exchange Rates in The 1920's: A Monetary Approach,"['Jacob A Frenkel', 'Kenneth W Clements']"
291,1978,October,Economic Effects of The Firefighters' Union,['Casey Ichniowski']
